"STATION","NAME","DATE","ACMH","ACSH","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TMAX","TMIN","TOBS","TSUN","WDFG","WDFM","WESD","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-21",,,,,,," 1206","0.00",,"0.0","0.0","72","58",,,"  203",,,"18.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-22",,,,,,," 1806","0.00",,"0.0","0.0","79","61",,,"  338",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-23",,,,,,," 1230","0.00",,"0.0","0.0","71","64",,,"   68",,,"16.1",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-24",,,,,,," 1242","0.00",,"0.0","0.0","85","67",,,"  203",,,"33.3",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-25",,,,,,," 0136","0.07",,"0.0","0.0","71","60",,,"  315",,,"18.3",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-26",,,,,,," 1200","0.00",,"0.0","0.0","73","56",,,"   68",,,"19.5",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-27",,,,,,," 1106","0.00",,"0.0","0.0","71","58",,,"   23",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-28",,,,,,," 0754","0.00",,"0.0","0.0","76","54",,,"   90",,,"16.1",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-29",,,,,,," 1342","0.04",,"0.0","0.0","69","53",,,"  315",,,"20.8",,"    1",,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-09-30",,,,,,," 0930","0.13",,"0.0","0.0","58","48",,,"   23",,,"20.8",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-10-01",,,,,,," 1524","0.00",,"0.0","0.0","68","45",,,"  180",,,"27.5",,,,"    1",,,,,,,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-10-02",,,,,,," 1312","0.00",,"0.0","0.0","66","53",,,"  315",,,"23.0",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-10-03",,,,,,," 1536","0.00",,"0.0","0.0","63","46",,,"   68",,,"13.9",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-10-04",,,,,,," 2030","0.00",,"0.0","0.0","68","47",,,"  158",,,"19.5",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-10-05",,,,,,," 1224","0.00",,"0.0","0.0","82","56",,,"  225",,,"27.5",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-10-06",,,,,,," 1142","0.00",,"0.0","0.0","68","51",,,"   23",,,"21.9",,,,,,,,,"    1",,,,,
